id,cuisine
18009,mexican
28583,french
41580,italian
29752,cajun_creole
35687,italian
38527,southern_us
19666,italian
41217,chinese
28753,mexican
22659,southern_us
21749,italian
44967,italian
42969,moroccan
44883,italian
20827,italian
23196,mexican
35387,brazilian
33780,southern_us
19001,southern_us
16526,southern_us
42455,japanese
47453,southern_us
42478,italian
11885,indian
16585,italian
29639,italian
26245,thai
38516,chinese
47520,italian
26212,italian
23696,mexican
14926,mexican
13292,italian
27346,chinese
1384,chinese
15959,mexican
42297,russian
46235,indian
21181,indian
9809,chinese
22982,cajun_creole
23120,chinese
26743,french
12741,mexican
7050,italian
22437,italian
14760,spanish
10649,british
48065,vietnamese
39931,chinese
32935,italian
40142,thai
19103,indian
38267,italian
30512,italian
3324,chinese
26197,italian
384,japanese
47230,chinese
39748,indian
41038,french
24878,mexican
42624,filipino
45706,indian
8874,mexican
23878,greek
47234,chinese
24075,thai
46323,italian
22562,italian
11358,italian
9201,indian
38620,southern_us
47638,italian
21238,indian
11053,japanese
46602,indian
13937,mexican
21876,italian
20798,chinese
24381,chinese
48178,cajun_creole
45832,italian
27560,chinese
23247,southern_us
28975,southern_us
43230,greek
9126,italian
13021,cajun_creole
28194,chinese
25617,indian
36125,italian
16454,mexican
1607,filipino
38526,mexican
18755,indian
12035,french
16047,greek
15419,italian
16971,indian
31459,southern_us
27888,french
13900,french
12376,thai
1658,southern_us
29431,mexican
22290,italian
28464,italian
37953,chinese
20814,southern_us
35987,mexican
2329,italian
43237,mexican
30647,french
16675,italian
37722,mexican
32438,chinese
20287,jamaican
43296,indian
6237,greek
48560,japanese
20810,mexican
34951,french
31850,chinese
47745,southern_us
37815,japanese
9872,italian
5592,italian
27411,thai
39320,southern_us
40247,british
19792,mexican
40754,italian
14365,mexican
14468,italian
47563,mexican
19611,italian
7163,italian
43069,irish
27505,chinese
36500,french
25932,southern_us
817,italian
8471,french
48250,indian
9413,italian
12097,cajun_creole
8416,italian
5892,italian
676,italian
47015,chinese
21891,french
14630,italian
36195,italian
25981,mexican
39964,french
28298,indian
31954,italian
26620,mexican
14932,southern_us
47426,french
1038,southern_us
8077,southern_us
37141,southern_us
45447,italian
9624,mexican
45589,italian
7265,italian
31844,southern_us
13046,italian
9867,italian
29184,italian
34783,italian
2823,vietnamese
18932,mexican
11112,mexican
12859,filipino
9365,italian
44516,italian
18193,southern_us
46545,italian
9900,italian
14815,mexican
39690,italian
22193,southern_us
11739,italian
27311,chinese
36920,indian
7861,indian
29248,indian
43142,mexican
7574,italian
8610,mexican
989,italian
46926,mexican
40816,thai
39726,japanese
42229,southern_us
10474,italian
22140,mexican
31985,indian
46165,japanese
20860,italian
42494,italian
15968,french
20484,vietnamese
26661,jamaican
47182,mexican
22528,southern_us
3861,mexican
1203,french
45040,southern_us
33287,indian
10097,southern_us
42005,irish
12423,spanish
39613,southern_us
30276,brazilian
18686,southern_us
3031,french
40093,greek
182,italian
46591,mexican
4092,chinese
13722,southern_us
44575,italian
14989,chinese
13270,italian
25529,italian
12140,indian
23127,mexican
13523,italian
41270,italian
8362,italian
11735,mexican
27935,italian
28198,mexican
37765,indian
33856,southern_us
30198,cajun_creole
42521,italian
21567,mexican
36995,greek
24967,thai
45002,southern_us
48925,italian
36914,italian
2280,southern_us
14729,cajun_creole
4594,italian
2237,moroccan
45631,spanish
2317,italian
23079,irish
29333,chinese
48066,southern_us
15737,mexican
30580,indian
1119,southern_us
46336,indian
5026,mexican
10749,indian
31020,mexican
30805,italian
27653,japanese
35060,mexican
39174,russian
49509,italian
31784,british
31408,french
36029,indian
11045,italian
6561,russian
26992,southern_us
31179,southern_us
35099,mexican
11018,korean
17930,mexican
21302,italian
46352,chinese
25132,mexican
7010,cajun_creole
25850,mexican
19601,mexican
7935,italian
34994,chinese
25113,italian
45523,cajun_creole
34977,southern_us
7124,southern_us
27514,italian
27178,mexican
47880,korean
29197,southern_us
16347,russian
20333,mexican
29112,chinese
7510,italian
13897,mexican
35699,moroccan
20520,mexican
38920,mexican
21775,indian
37475,japanese
40131,cajun_creole
1939,mexican
48268,filipino
34815,italian
13797,italian
39063,chinese
